time_sec,pwm,rpm
0.5002,68.7,867.0
1.0016,78.0,867.0
1.5023,79.6,939.0
2.0155,72.9,939.0
2.5259,60.1,1120.0
3.0563,45.0,1170.0
3.5707,33.8,1170.0
4.0721,30.0,1027.0
4.6040,34.9,1027.0
5.1204,46.9,873.0
5.6205,61.2,873.0
6.1367,73.8,833.0
6.6543,79.8,833.0
7.1556,77.4,956.0
7.6708,67.2,1139.0
8.1859,52.7,1139.0
8.6864,39.4,1146.0
9.2175,31.0,1146.0
9.7337,31.3,1037.0
10.2493,39.8,1037.0
10.7646,53.7,865.0
11.2965,68.4,822.0
11.8131,78.0,822.0
12.3138,79.6,962.0
12.8455,72.5,962.0
13.3775,58.9,1126.0
13.8775,44.7,1126.0
14.3929,33.7,1162.0
14.9248,30.1,1162.0
15.4398,35.4,1010.0
15.9408,47.1,852.0
16.4561,61.9,852.0
16.9721,74.2,844.0
17.5036,79.9,844.0
18.0045,76.8,974.0
18.5058,66.5,974.0
19.0061,52.5,1125.0
19.5224,38.9,1148.0
20.0389,30.9,1148.0
20.5705,31.5,966.0
21.0864,40.4,966.0
21.6000,54.4,837.0
22.1157,68.6,837.0
22.6322,78.1,866.0
23.1600,79.4,866.0
23.6753,72.1,1041.0
24.1757,59.3,1141.0
24.6771,45.0,1141.0
25.1937,33.8,1129.0
25.7107,30.0,1129.0
26.2277,35.0,943.0
26.7434,46.9,943.0
27.2599,61.7,810.0
27.7763,74.1,810.0
28.2763,79.8,892.0
28.7921,77.2,892.0
29.3081,66.8,1049.0
29.8247,52.2,1176.0
30.3260,39.0,1176.0
30.8262,31.1,1122.0
31.3425,31.1,1122.0
31.8745,39.9,920.0
32.4053,54.2,920.0
32.9071,68.1,813.0
33.4384,78.0,889.0
33.9542,79.5,889.0
34.4558,72.8,1061.0
34.9708,59.7,1061.0
35.4712,45.5,1151.0
35.9866,34.1,1151.0
36.5178,30.0,1113.0
37.0328,34.9,904.0
37.5493,46.8,904.0
38.0654,61.5,824.0
38.5813,74.0,824.0
39.0966,79.9,877.0
39.6120,77.0,877.0
40.1121,66.9,1077.0
40.6126,52.9,1175.0
41.1127,39.6,1175.0
41.6281,31.2,1101.0
42.1294,30.9,1101.0
